"Segment","Country","Product","Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales","Discounts","Net Sales","COGS","Profit","Segment_Processed","Country_Processed","Product_Processed","Discount Band_Processed","Units Sold_Processed","Manufacturing Price_Processed","Sale Price_Processed","Gross Sales_Processed","Discounts_Processed","Net Sales_Processed","COGS_Processed","Profit_Processed","Country_Cleaned","Segment_Cleaned","Product_Cleaned","Discount Band_Cleaned","Year","Month Number","Mounth Name","Discount_Percentage","Gross_Margin","Unit_Profit","NetSales_Check","Profit_Check","Data_Quality_Flag"
"Government","France","Velo","Medium",1579,120,20,31580,1579,30001,15790,14211,"government","france","velo","medium",1579,120,20,31580,1579,30001,15790,14211,"france","government","velo","medium",2014,8,"August",0.05,0.47368421052631576,9,30001,14211,"Price_Error"
"Government","France","Velo","Medium",1033,120,20,20660,1033,19627,10330,9297,"government","france","velo","medium",1033,120,20,20660,1033,19627,10330,9297,"france","government","velo","medium",2013,12,"December",0.05,0.47368421052631576,9,19627,9297,"Price_Error"
"Government","Canada","VTT","Medium",1389,250,20,27780,1389,26391,13890,12501,"government","canada","vtt","medium",1389,250,20,27780,1389,26391,13890,12501,"canada","government","vtt","medium",2013,10,"October",0.05,0.47368421052631576,9,26391,12501,"Price_Error"
"Government","United States of America","VTT","Medium",1265,250,20,25300,1265,24035,12650,11385,"government","united states of america","vtt","medium",1265,250,20,25300,1265,24035,12650,11385,"united states of america","government","vtt","medium",2013,11,"November",0.05,0.47368421052631576,9,24035,11385,"Price_Error"
"Government","Germany","VTT","Medium",2297,250,20,45940,2297,43643,22970,20673,"government","germany","vtt","medium",2297,250,20,45940,2297,43643,22970,20673,"germany","government","vtt","medium",2013,11,"November",0.05,0.47368421052631576,9,43643,20673,"Price_Error"
"Government","United States of America","VTT","Medium",2663,250,20,53260,2663,50597,26630,23967,"government","united states of america","vtt","medium",2663,250,20,53260,2663,50597,26630,23967,"united states of america","government","vtt","medium",2014,12,"December",0.05,0.47368421052631576,9,50597,23967,"Price_Error"
"Government","United States of America","VTT","Medium",570,250,7,3990,199.5,3790.5,2850,940.5,"government","united states of america","vtt","medium",570,250,7,3990,199.5,3790.5,2850,940.5,"united states of america","government","vtt","medium",2014,12,"December",0.05,0.24812030075187969,1.65,3790.5,940.5,"Price_Error"
"Government","France","VTT","Medium",2487,250,7,17409,870.45,16538.55,12435,4103.55,"government","france","vtt","medium",2487,250,7,17409,870.45,16538.55,12435,4103.55,"france","government","vtt","medium",2014,12,"December",0.05,0.2481203007518797,1.6500000000000001,16538.55,4103.549999999999,"Profit_Error"
"Midmarket","France","Paseo","Medium",3801,10,15,57015,3420.9,53594.1,38010,15584.1,"midmarket","france","paseo","medium",3801,10,15,57015,3420.9,53594.1,38010,15584.1,"france","midmarket","paseo","medium",2014,4,"April",0.060000000000000005,0.29078014184397166,4.1000000000000005,53594.1,15584.099999999999,"Profit_Error"
"Midmarket","Canada","Carretera","Medium",2844,3,15,42660,2559.6,40100.4,28440,11660.4,"midmarket","canada","carretera","medium",2844,3,15,42660,2559.6,40100.4,28440,11660.4,"canada","midmarket","carretera","medium",2014,6,"June",0.06,0.2907801418439716,4.1,40100.4,11660.400000000001,"Profit_Error"
"Government","United States of America","Carretera","Medium",263,3,7,1841,110.46,1730.54,1315,415.54,"government","united states of america","carretera","medium",263,3,7,1841,110.46,1730.54,1315,415.54,"united states of america","government","carretera","medium",2013,11,"November",0.06,0.24012158054711247,1.58,1730.54,415.53999999999996,"Profit_Error"
"Midmarket","Germany","Velo","Medium",1530,120,15,22950,1377,21573,15300,6273,"midmarket","germany","velo","medium",1530,120,15,22950,1377,21573,15300,6273,"germany","midmarket","velo","medium",2014,5,"May",0.06,0.2907801418439716,4.1,21573,6273,"Price_Error"
"Government","Mexico","Velo","Medium",1498,120,7,10486,629.16,9856.84,7490,2366.84,"government","mexico","velo","medium",1498,120,7,10486,629.16,9856.84,7490,2366.84,"mexico","government","velo","medium",2014,6,"June",0.06,0.24012158054711247,1.58,9856.84,2366.84,"Price_Error"
"Midmarket","Canada","VTT","Medium",2844,250,15,42660,2559.6,40100.4,28440,11660.4,"midmarket","canada","vtt","medium",2844,250,15,42660,2559.6,40100.4,28440,11660.4,"canada","midmarket","vtt","medium",2014,6,"June",0.06,0.2907801418439716,4.1,40100.4,11660.400000000001,"Profit_Error"
"Government","Mexico","VTT","Medium",1498,250,7,10486,629.16,9856.84,7490,2366.84,"government","mexico","vtt","medium",1498,250,7,10486,629.16,9856.84,7490,2366.84,"mexico","government","vtt","medium",2014,6,"June",0.06,0.24012158054711247,1.58,9856.84,2366.84,"Price_Error"
"Government","Mexico","VTT","Medium",1123,250,20,22460,1347.6,21112.4,11230,9882.4,"government","mexico","vtt","medium",1123,250,20,22460,1347.6,21112.4,11230,9882.4,"mexico","government","vtt","medium",2013,11,"November",0.06,0.4680851063829787,8.799999999999999,21112.4,9882.400000000001,"Profit_Error"
"Enterprise","France","Amarilla","Medium",1987.5,260,125,248437.5,14906.25,233531.25,238500,-4968.75,"enterprise","france","amarilla","medium",1987.5,260,125,248437.5,14906.25,233531.25,238500,-4968.75,"france","enterprise","amarilla","medium",2014,1,"January",0.06,-0.02127659574468085,-2.5,233531.25,-4968.75,"Price_Error"
"Government","France","Amarilla","Medium",1403,260,7,9821,589.26,9231.74,7015,2216.74,"government","france","amarilla","medium",1403,260,7,9821,589.26,9231.74,7015,2216.74,"france","government","amarilla","medium",2013,10,"October",0.06,0.24012158054711244,1.5799999999999998,9231.74,2216.74,"Price_Error"
"Government","France","Montana","Medium",1757,5,20,35140,2108.4,33031.6,17570,15461.6,"government","france","montana","medium",1757,5,20,35140,2108.4,33031.6,17570,15461.6,"france","government","montana","medium",2013,10,"October",0.060000000000000005,0.46808510638297873,8.8,33031.6,15461.599999999999,"Profit_Error"
"Midmarket","Germany","Paseo","Medium",1743,10,15,26145,1568.7,24576.3,17430,7146.3,"midmarket","germany","paseo","medium",1743,10,15,26145,1568.7,24576.3,17430,7146.3,"germany","midmarket","paseo","medium",2014,8,"August",0.060000000000000005,0.29078014184397166,4.1000000000000005,24576.3,7146.299999999999,"Profit_Error"
"Midmarket","United States of America","Paseo","Medium",1153,10,15,17295,1037.7,16257.3,11530,4727.3,"midmarket","united states of america","paseo","medium",1153,10,15,17295,1037.7,16257.3,11530,4727.3,"united states of america","midmarket","paseo","medium",2014,10,"October",0.060000000000000005,0.29078014184397166,4.1000000000000005,16257.3,4727.299999999999,"Profit_Error"
"Government","France","Paseo","Medium",1757,10,20,35140,2108.4,33031.6,17570,15461.6,"government","france","paseo","medium",1757,10,20,35140,2108.4,33031.6,17570,15461.6,"france","government","paseo","medium",2013,10,"October",0.060000000000000005,0.46808510638297873,8.8,33031.6,15461.599999999999,"Profit_Error"
"Government","Germany","Velo","Medium",1001,120,20,20020,1201.2,18818.8,10010,8808.8,"government","germany","velo","medium",1001,120,20,20020,1201.2,18818.8,10010,8808.8,"germany","government","velo","medium",2014,8,"August",0.060000000000000005,0.4680851063829787,8.799999999999999,18818.8,8808.8,"Price_Error"
"Government","Mexico","Velo","Medium",1333,120,7,9331,559.86,8771.14,6665,2106.14,"government","mexico","velo","medium",1333,120,7,9331,559.86,8771.14,6665,2106.14,"mexico","government","velo","medium",2014,11,"November",0.060000000000000005,0.24012158054711247,1.5799999999999998,8771.14,2106.1399999999994,"Profit_Error"
"Midmarket","United States of America","VTT","Medium",1153,250,15,17295,1037.7,16257.3,11530,4727.3,"midmarket","united states of america","vtt","medium",1153,250,15,17295,1037.7,16257.3,11530,4727.3,"united states of america","midmarket","vtt","medium",2014,10,"October",0.060000000000000005,0.29078014184397166,4.1000000000000005,16257.3,4727.299999999999,"Profit_Error"
"Channel Partners","Canada","Carretera","Medium",1884,3,12,22608,1582.56,21025.44,5652,15373.44,"channel partners","canada","carretera","medium",1884,3,12,22608,1582.56,21025.44,5652,15373.44,"canada","channel partners","carretera","medium",2014,8,"August",0.06999999999999999,0.7311827956989247,8.16,21025.44,15373.439999999999,"Profit_Error"
"Government","Mexico","Carretera","Medium",1834,3,20,36680,2567.6,34112.4,18340,15772.4,"government","mexico","carretera","medium",1834,3,20,36680,2567.6,34112.4,18340,15772.4,"mexico","government","carretera","medium",2013,9,"September",0.06999999999999999,0.46236559139784944,8.6,34112.4,15772.400000000001,"Profit_Error"
"Government","France","Paseo","Medium",1031,10,7,7217,505.19,6711.81,5155,1556.81,"government","france","paseo","medium",1031,10,7,7217,505.19,6711.81,5155,1556.81,"france","government","paseo","medium",2013,9,"September",0.06999999999999999,0.23195084485407064,1.51,6711.81,1556.8100000000004,"Profit_Error"
"Midmarket","Canada","Velo","Medium",1262,120,15,18930,1325.1,17604.9,12620,4984.9,"midmarket","canada","velo","medium",1262,120,15,18930,1325.1,17604.9,12620,4984.9,"canada","midmarket","velo","medium",2014,5,"May",0.06999999999999999,0.28315412186379924,3.9499999999999997,17604.9,4984.9000000000015,"Profit_Error"
"Government","Canada","Velo","Medium",1135,120,7,7945,556.15,7388.85,5675,1713.85,"government","canada","velo","medium",1135,120,7,7945,556.15,7388.85,5675,1713.85,"canada","government","velo","medium",2014,6,"June",0.06999999999999999,0.23195084485407064,1.51,7388.85,1713.8500000000004,"Profit_Error"
"Government","United States of America","Velo","Medium",547,120,7,3829,268.03,3560.97,2735,825.97,"government","united states of america","velo","medium",547,120,7,3829,268.03,3560.97,2735,825.97,"united states of america","government","velo","medium",2014,11,"November",0.06999999999999999,0.2319508448540707,1.51,3560.9700000000003,825.9699999999998,"NetSales_Error"
"Government","Canada","Velo","Medium",1582,120,7,11074,775.18,10298.82,7910,2388.82,"government","canada","velo","medium",1582,120,7,11074,775.18,10298.82,7910,2388.82,"canada","government","velo","medium",2014,12,"December",0.06999999999999999,0.2319508448540707,1.51,10298.82,2388.8199999999997,"Profit_Error"
"Channel Partners","France","VTT","Medium",1738.5,250,12,20862,1460.34,19401.66,5215.5,14186.16,"channel partners","france","vtt","medium",1738.5,250,12,20862,1460.34,19401.66,5215.5,14186.16,"france","channel partners","vtt","medium",2014,4,"April",0.06999999999999999,0.7311827956989247,8.16,19401.66,14186.16,"Price_Error"
"Channel Partners","Germany","VTT","Medium",2215,250,12,26580,1860.6,24719.4,6645,18074.4,"channel partners","germany","vtt","medium",2215,250,12,26580,1860.6,24719.4,6645,18074.4,"germany","channel partners","vtt","medium",2013,9,"September",0.06999999999999999,0.7311827956989247,8.16,24719.4,18074.4,"Price_Error"
"Government","Canada","VTT","Medium",1582,250,7,11074,775.18,10298.82,7910,2388.82,"government","canada","vtt","medium",1582,250,7,11074,775.18,10298.82,7910,2388.82,"canada","government","vtt","medium",2014,12,"December",0.06999999999999999,0.2319508448540707,1.51,10298.82,2388.8199999999997,"Profit_Error"
"Government","Canada","Amarilla","Medium",1135,260,7,7945,556.15,7388.85,5675,1713.85,"government","canada","amarilla","medium",1135,260,7,7945,556.15,7388.85,5675,1713.85,"canada","government","amarilla","medium",2014,6,"June",0.06999999999999999,0.23195084485407064,1.51,7388.85,1713.8500000000004,"Profit_Error"
"Midmarket","United States of America","Paseo","Medium",2931,10,15,43965,3077.55,40887.45,29310,11577.45,"midmarket","united states of america","paseo","medium",2931,10,15,43965,3077.55,40887.45,29310,11577.45,"united states of america","midmarket","paseo","medium",2013,9,"September",0.07,0.28315412186379935,3.95,40887.45,11577.449999999997,"Profit_Error"
"Government","Germany","Paseo","Medium",2125,10,7,14875,1041.25,13833.75,10625,3208.75,"government","germany","paseo","medium",2125,10,7,14875,1041.25,13833.75,10625,3208.75,"germany","government","paseo","medium",2013,12,"December",0.07,0.23195084485407066,1.51,13833.75,3208.75,"Price_Error"
"Government","Mexico","Velo","Medium",609,120,20,12180,852.6,11327.4,6090,5237.4,"government","mexico","velo","medium",609,120,20,12180,852.6,11327.4,6090,5237.4,"mexico","government","velo","medium",2014,8,"August",0.07,0.46236559139784944,8.6,11327.4,5237.4,"Price_Error"
"Government","France","Velo","Medium",1976,120,20,39520,2766.4,36753.6,19760,16993.6,"government","france","velo","medium",1976,120,20,39520,2766.4,36753.6,19760,16993.6,"france","government","velo","medium",2014,10,"October",0.07,0.46236559139784944,8.6,36753.6,16993.6,"Price_Error"
"Government","United States of America","Velo","Medium",1421,120,20,28420,1989.4,26430.6,14210,12220.6,"government","united states of america","velo","medium",1421,120,20,28420,1989.4,26430.6,14210,12220.6,"united states of america","government","velo","medium",2013,12,"December",0.07,0.4623655913978495,8.6,26430.6,12220.599999999999,"Profit_Error"
"Government","Germany","Velo","Medium",588,120,20,11760,823.2,10936.8,5880,5056.8,"government","germany","velo","medium",588,120,20,11760,823.2,10936.8,5880,5056.8,"germany","government","velo","medium",2013,12,"December",0.07,0.4623655913978495,8.6,10936.8,5056.799999999999,"Profit_Error"
"Channel Partners","Canada","VTT","Medium",3244.5,250,12,38934,2725.38,36208.62,9733.5,26475.12,"channel partners","canada","vtt","medium",3244.5,250,12,38934,2725.38,36208.62,9733.5,26475.12,"canada","channel partners","vtt","medium",2014,1,"January",0.07,0.7311827956989246,8.16,36208.62,26475.120000000003,"Profit_Error"
"Enterprise","Canada","Amarilla","Medium",1645,260,125,205625,14393.75,191231.25,197400,-6168.75,"enterprise","canada","amarilla","medium",1645,260,125,205625,14393.75,191231.25,197400,-6168.75,"canada","enterprise","amarilla","medium",2014,5,"May",0.07,-0.03225806451612903,-3.75,191231.25,-6168.75,"Price_Error"
"Enterprise","Germany","Amarilla","Medium",994,260,125,124250,8697.5,115552.5,119280,-3727.5,"enterprise","germany","amarilla","medium",994,260,125,124250,8697.5,115552.5,119280,-3727.5,"germany","enterprise","amarilla","medium",2013,9,"September",0.07,-0.03225806451612903,-3.75,115552.5,-3727.5,"Price_Error"
"Government","Canada","Amarilla","Medium",1118,260,20,22360,1565.2,20794.8,11180,9614.8,"government","canada","amarilla","medium",1118,260,20,22360,1565.2,20794.8,11180,9614.8,"canada","government","amarilla","medium",2014,11,"November",0.07,0.46236559139784944,8.6,20794.8,9614.8,"Price_Error"
"Government","Canada","Montana","Medium",488,5,7,3416,273.28,3142.72,2440,702.72,"government","canada","montana","medium",488,5,7,3416,273.28,3142.72,2440,702.72,"canada","government","montana","medium",2014,2,"February",0.07999999999999999,0.22360248447204972,1.44,3142.7200000000003,702.7199999999998,"NetSales_Error"
"Government","Canada","Paseo","Medium",257,10,7,1799,143.92,1655.08,1285,370.08,"government","canada","paseo","medium",257,10,7,1799,143.92,1655.08,1285,370.08,"canada","government","paseo","medium",2014,5,"May",0.07999999999999999,0.2236024844720497,1.44,1655.08,370.0799999999999,"Profit_Error"
"Government","United States of America","Amarilla","Medium",1282,260,20,25640,2051.2,23588.8,12820,10768.8,"government","united states of america","amarilla","medium",1282,260,20,25640,2051.2,23588.8,12820,10768.8,"united states of america","government","amarilla","medium",2014,6,"June",0.07999999999999999,0.45652173913043476,8.399999999999999,23588.8,10768.8,"Price_Error"
"Midmarket","France","Montana","Medium",2501,5,15,37515,3001.2,34513.8,25010,9503.8,"midmarket","france","montana","medium",2501,5,15,37515,3001.2,34513.8,25010,9503.8,"france","midmarket","montana","medium",2014,3,"March",0.08,0.27536231884057966,3.8,34513.8,9503.800000000003,"Profit_Error"
"Government","Canada","Montana","Medium",708,5,20,14160,1132.8,13027.2,7080,5947.2,"government","canada","montana","medium",708,5,20,14160,1132.8,13027.2,7080,5947.2,"canada","government","montana","medium",2014,6,"June",0.08,0.45652173913043476,8.4,13027.2,5947.200000000001,"Profit_Error"
"Midmarket","Germany","Montana","Medium",711,5,15,10665,853.2,9811.8,7110,2701.8,"midmarket","germany","montana","medium",711,5,15,10665,853.2,9811.8,7110,2701.8,"germany","midmarket","montana","medium",2014,12,"December",0.08,0.27536231884057977,3.8000000000000003,9811.8,2701.7999999999993,"Profit_Error"
"Government","Germany","Paseo","Medium",1259,10,7,8813,705.04,8107.96,6295,1812.96,"government","germany","paseo","medium",1259,10,7,8813,705.04,8107.96,6295,1812.96,"germany","government","paseo","medium",2014,4,"April",0.08,0.2236024844720497,1.44,8107.96,1812.96,"Price_Error"
"Government","Germany","Paseo","Medium",1095,10,7,7665,613.2,7051.8,5475,1576.8,"government","germany","paseo","medium",1095,10,7,7665,613.2,7051.8,5475,1576.8,"germany","government","paseo","medium",2014,5,"May",0.08,0.22360248447204967,1.44,7051.8,1576.8000000000002,"Profit_Error"
"Government","Germany","Paseo","Medium",1366,10,20,27320,2185.6,25134.4,13660,11474.4,"government","germany","paseo","medium",1366,10,20,27320,2185.6,25134.4,13660,11474.4,"germany","government","paseo","medium",2014,6,"June",0.08,0.45652173913043476,8.4,25134.4,11474.400000000001,"Profit_Error"
"Government","United States of America","Paseo","Medium",678,10,7,4746,379.68,4366.32,3390,976.32,"government","united states of america","paseo","medium",678,10,7,4746,379.68,4366.32,3390,976.32,"united states of america","government","paseo","medium",2014,8,"August",0.08,0.22360248447204972,1.4400000000000002,4366.32,976.3199999999997,"Profit_Error"
"Government","Germany","Paseo","Medium",1598,10,7,11186,894.88,10291.12,7990,2301.12,"government","germany","paseo","medium",1598,10,7,11186,894.88,10291.12,7990,2301.12,"germany","government","paseo","medium",2014,8,"August",0.08,0.22360248447204967,1.44,10291.12,2301.120000000001,"Profit_Error"
"Government","Germany","Paseo","Medium",2409,10,7,16863,1349.04,15513.96,12045,3468.96,"government","germany","paseo","medium",2409,10,7,16863,1349.04,15513.96,12045,3468.96,"germany","government","paseo","medium",2013,9,"September",0.08,0.2236024844720497,1.44,15513.96,3468.959999999999,"Profit_Error"
"Government","Germany","Paseo","Medium",1934,10,20,38680,3094.4,35585.6,19340,16245.6,"government","germany","paseo","medium",1934,10,20,38680,3094.4,35585.6,19340,16245.6,"germany","government","paseo","medium",2014,9,"September",0.08,0.4565217391304348,8.4,35585.6,16245.599999999999,"Profit_Error"
"Government","Mexico","Paseo","Medium",2993,10,20,59860,4788.8,55071.2,29930,25141.2,"government","mexico","paseo","medium",2993,10,20,59860,4788.8,55071.2,29930,25141.2,"mexico","government","paseo","medium",2014,9,"September",0.08,0.4565217391304348,8.4,55071.2,25141.199999999997,"Profit_Error"
"Government","Mexico","Paseo","Medium",1946,10,7,13622,1089.76,12532.24,9730,2802.24,"government","mexico","paseo","medium",1946,10,7,13622,1089.76,12532.24,9730,2802.24,"mexico","government","paseo","medium",2013,12,"December",0.08,0.22360248447204967,1.44,12532.24,2802.24,"Price_Error"
"Channel Partners","Canada","Velo","Medium",598,120,12,7176,574.08,6601.92,1794,4807.92,"channel partners","canada","velo","medium",598,120,12,7176,574.08,6601.92,1794,4807.92,"canada","channel partners","velo","medium",2014,3,"March",0.08,0.7282608695652174,8.040000000000001,6601.92,4807.92,"Price_Error"
"Government","United States of America","Velo","Medium",2907,120,7,20349,1627.92,18721.08,14535,4186.08,"government","united states of america","velo","medium",2907,120,7,20349,1627.92,18721.08,14535,4186.08,"united states of america","government","velo","medium",2014,6,"June",0.08,0.22360248447204967,1.44,18721.08,4186.080000000002,"Profit_Error"
"Government","Germany","Velo","Medium",2338,120,7,16366,1309.28,15056.72,11690,3366.72,"government","germany","velo","medium",2338,120,7,16366,1309.28,15056.72,11690,3366.72,"germany","government","velo","medium",2014,6,"June",0.08,0.2236024844720497,1.44,15056.72,3366.7199999999993,"Profit_Error"
"Government","Germany","VTT","Medium",2338,250,7,16366,1309.28,15056.72,11690,3366.72,"government","germany","vtt","medium",2338,250,7,16366,1309.28,15056.72,11690,3366.72,"germany","government","vtt","medium",2014,6,"June",0.08,0.2236024844720497,1.44,15056.72,3366.7199999999993,"Profit_Error"
"Government","Canada","Amarilla","Medium",708,260,20,14160,1132.8,13027.2,7080,5947.2,"government","canada","amarilla","medium",708,260,20,14160,1132.8,13027.2,7080,5947.2,"canada","government","amarilla","medium",2014,6,"June",0.08,0.45652173913043476,8.4,13027.2,5947.200000000001,"Profit_Error"
"Government","United States of America","Amarilla","Medium",2907,260,7,20349,1627.92,18721.08,14535,4186.08,"government","united states of america","amarilla","medium",2907,260,7,20349,1627.92,18721.08,14535,4186.08,"united states of america","government","amarilla","medium",2014,6,"June",0.08,0.22360248447204967,1.44,18721.08,4186.080000000002,"Profit_Error"
"Government","Germany","Amarilla","Medium",1366,260,20,27320,2185.6,25134.4,13660,11474.4,"government","germany","amarilla","medium",1366,260,20,27320,2185.6,25134.4,13660,11474.4,"germany","government","amarilla","medium",2014,6,"June",0.08,0.45652173913043476,8.4,25134.4,11474.400000000001,"Profit_Error"
"Government","Germany","Amarilla","Medium",1520,260,20,30400,2432,27968,15200,12768,"government","germany","amarilla","medium",1520,260,20,30400,2432,27968,15200,12768,"germany","government","amarilla","medium",2014,11,"November",0.08,0.45652173913043476,8.4,27968,12768,"Price_Error"
"Midmarket","Germany","Amarilla","Medium",711,260,15,10665,853.2,9811.8,7110,2701.8,"midmarket","germany","amarilla","medium",711,260,15,10665,853.2,9811.8,7110,2701.8,"germany","midmarket","amarilla","medium",2014,12,"December",0.08,0.27536231884057977,3.8000000000000003,9811.8,2701.7999999999993,"Profit_Error"
"Channel Partners","Mexico","Amarilla","Medium",1375,260,12,16500,1320,15180,4125,11055,"channel partners","mexico","amarilla","medium",1375,260,12,16500,1320,15180,4125,11055,"mexico","channel partners","amarilla","medium",2013,12,"December",0.08,0.7282608695652174,8.04,15180,11055,"Price_Error"
"Government","United States of America","VTT","Medium",436.5,250,20,8730,698.4,8031.6,4365,3666.6,"government","united states of america","vtt","medium",436.5,250,20,8730,698.4,8031.6,4365,3666.6,"united states of america","government","vtt","medium",2014,7,"July",0.08,0.45652173913043476,8.4,8031.6,3666.6000000000004,"Profit_Error"
"Government","Canada","Montana","Medium",1611,5,7,11277,1014.93,10262.07,8055,2207.07,"government","canada","montana","medium",1611,5,7,11277,1014.93,10262.07,8055,2207.07,"canada","government","montana","medium",2013,12,"December",0.09,0.21507064364207223,1.37,10262.07,2207.0699999999997,"Profit_Error"
"Midmarket","France","Paseo","Medium",1227,10,15,18405,1656.45,16748.55,12270,4478.55,"midmarket","france","paseo","medium",1227,10,15,18405,1656.45,16748.55,12270,4478.55,"france","midmarket","paseo","medium",2014,10,"October",0.09,0.26739926739926745,3.6500000000000004,16748.55,4478.549999999999,"Profit_Error"
"Midmarket","Mexico","Velo","Medium",245,120,15,3675,330.75,3344.25,2450,894.25,"midmarket","mexico","velo","medium",245,120,15,3675,330.75,3344.25,2450,894.25,"mexico","midmarket","velo","medium",2014,5,"May",0.09,0.2673992673992674,3.65,3344.25,894.25,"Price_Error"
"Channel Partners","United States of America","VTT","Medium",1956,250,12,23472,2112.48,21359.52,5868,15491.52,"channel partners","united states of america","vtt","medium",1956,250,12,23472,2112.48,21359.52,5868,15491.52,"united states of america","channel partners","vtt","medium",2014,1,"January",0.09,0.7252747252747253,7.92,21359.52,15491.52,"Price_Error"
"Channel Partners","Germany","VTT","Medium",880,250,12,10560,950.4,9609.6,2640,6969.6,"channel partners","germany","vtt","medium",880,250,12,10560,950.4,9609.6,2640,6969.6,"germany","channel partners","vtt","medium",2014,5,"May",0.09,0.7252747252747253,7.920000000000001,9609.6,6969.6,"Price_Error"
"Channel Partners","France","VTT","Medium",2234,250,12,26808,2412.72,24395.28,6702,17693.28,"channel partners","france","vtt","medium",2234,250,12,26808,2412.72,24395.28,6702,17693.28,"france","channel partners","vtt","medium",2013,9,"September",0.09,0.7252747252747253,7.919999999999999,24395.28,17693.28,"Price_Error"
"Midmarket","France","VTT","Medium",1227,250,15,18405,1656.45,16748.55,12270,4478.55,"midmarket","france","vtt","medium",1227,250,15,18405,1656.45,16748.55,12270,4478.55,"france","midmarket","vtt","medium",2014,10,"October",0.09,0.26739926739926745,3.6500000000000004,16748.55,4478.549999999999,"Profit_Error"
"Enterprise","Mexico","VTT","Medium",877,250,125,109625,9866.25,99758.75,105240,-5481.25,"enterprise","mexico","vtt","medium",877,250,125,109625,9866.25,99758.75,105240,-5481.25,"mexico","enterprise","vtt","medium",2014,11,"November",0.09,-0.054945054945054944,-6.25,99758.75,-5481.25,"Price_Error"
"Midmarket","Germany","Amarilla","Medium",970,260,15,14550,1309.5,13240.5,9700,3540.5,"midmarket","germany","amarilla","medium",970,260,15,14550,1309.5,13240.5,9700,3540.5,"germany","midmarket","amarilla","medium",2013,11,"November",0.09,0.2673992673992674,3.65,13240.5,3540.5,"Price_Error"
"Government","Mexico","Amarilla","Medium",1694,260,20,33880,3049.2,30830.8,16940,13890.8,"government","mexico","amarilla","medium",1694,260,20,33880,3049.2,30830.8,16940,13890.8,"mexico","government","amarilla","medium",2014,11,"November",0.09,0.45054945054945056,8.2,30830.8,13890.8,"Price_Error"
"Government","Canada","Carretera","Medium",819,3,7,5733,515.97,5217.03,4095,1122.03,"government","canada","carretera","medium",819,3,7,5733,515.97,5217.03,4095,1122.03,"canada","government","carretera","medium",2014,7,"July",0.09000000000000001,0.2150706436420722,1.3699999999999999,5217.03,1122.0299999999997,"Profit_Error"
"Channel Partners","Germany","Carretera","Medium",1580,3,12,18960,1706.4,17253.6,4740,12513.6,"channel partners","germany","carretera","medium",1580,3,12,18960,1706.4,17253.6,4740,12513.6,"germany","channel partners","carretera","medium",2014,9,"September",0.09000000000000001,0.7252747252747254,7.92,17253.6,12513.599999999999,"Profit_Error"
"Government","United States of America","Paseo","Medium",973,10,20,19460,1751.4,17708.6,9730,7978.6,"government","united states of america","paseo","medium",973,10,20,19460,1751.4,17708.6,9730,7978.6,"united states of america","government","paseo","medium",2014,3,"March",0.09000000000000001,0.4505494505494506,8.200000000000001,17708.6,7978.5999999999985,"Profit_Error"
"Government","Mexico","Paseo","Medium",1038,10,20,20760,1868.4,18891.6,10380,8511.6,"government","mexico","paseo","medium",1038,10,20,20760,1868.4,18891.6,10380,8511.6,"mexico","government","paseo","medium",2014,6,"June",0.09000000000000001,0.4505494505494506,8.200000000000001,18891.6,8511.599999999999,"Profit_Error"
"Government","Germany","Paseo","Medium",360,10,7,2520,226.8,2293.2,1800,493.2,"government","germany","paseo","medium",360,10,7,2520,226.8,2293.2,1800,493.2,"germany","government","paseo","medium",2014,10,"October",0.09000000000000001,0.21507064364207223,1.3699999999999999,2293.2,493.1999999999998,"Profit_Error"
"Channel Partners","France","Velo","Medium",1967,120,12,23604,2124.36,21479.64,5901,15578.64,"channel partners","france","velo","medium",1967,120,12,23604,2124.36,21479.64,5901,15578.64,"france","channel partners","velo","medium",2014,3,"March",0.09000000000000001,0.7252747252747253,7.92,21479.64,15578.64,"Price_Error"
"Midmarket","Mexico","Velo","Medium",2628,120,15,39420,3547.8,35872.2,26280,9592.2,"midmarket","mexico","velo","medium",2628,120,15,39420,3547.8,35872.2,26280,9592.2,"mexico","midmarket","velo","medium",2014,4,"April",0.09000000000000001,0.26739926739926745,3.6500000000000004,35872.2,9592.199999999997,"Profit_Error"
"Government","Germany","VTT","Medium",360,250,7,2520,226.8,2293.2,1800,493.2,"government","germany","vtt","medium",360,250,7,2520,226.8,2293.2,1800,493.2,"germany","government","vtt","medium",2014,10,"October",0.09000000000000001,0.21507064364207223,1.3699999999999999,2293.2,493.1999999999998,"Profit_Error"
"Government","France","VTT","Medium",2682,250,20,53640,4827.6,48812.4,26820,21992.4,"government","france","vtt","medium",2682,250,20,53640,4827.6,48812.4,26820,21992.4,"france","government","vtt","medium",2013,11,"November",0.09000000000000001,0.45054945054945056,8.200000000000001,48812.4,21992.4,"Price_Error"
"Government","Mexico","VTT","Medium",521,250,7,3647,328.23,3318.77,2605,713.77,"government","mexico","vtt","medium",521,250,7,3647,328.23,3318.77,2605,713.77,"mexico","government","vtt","medium",2014,12,"December",0.09000000000000001,0.2150706436420722,1.3699999999999999,3318.77,713.77,"Price_Error"
